Self Determined Field,ISSN,Journal_Name,Publisher_ABDC
Marketing,1472-0817,Journal of Consumer Behaviour,"John Wiley & Sons, Inc."
Marketing,0092-0703,Journal of the Academy of Marketing Science,Springer International Publishing
Marketing,1470-5931,Marketing Theory,Sage Publications
Marketing,0309-0566,European Journal of Marketing,Emerald Group Publishing
Marketing,0022-2437,Journal of Services Marketing,Emerald Group Publishing
Marketing,1566-0141,Emerging Markets Review,Elsevier
Marketing,0887-6045,European Journal of Marketing,Emerald Group Publishing
Marketing,1019-6781,Electronic Markets,Taylor & Francis Online

Gen Management,0001-4273,Academy of Management Journal,Academy of Management
Gen Management,1748-1252,International Journal of Enterprise Network Management,Inderscience Enterprises Ltd.
Gen Management,1047-7039,Organization Science,The Institute for Operations Research and the Management Sciences (INFORMS)
Gen Management,0017-8012,Harvard Business Review,Harvard University
Gen Management,1532-9194,MIT Sloan Management Review: MIT's journal of management research and ideas,Thomson Reuters

Marketing,0092-0703,Journal of the Academy of Marketing Science,Springer International Publishing

Marketing,0092-0703,Journal of the Academy of Marketing Science,Springer International Publishing
